GBE subset- total dv/dt, CSL3 dv/dt, GBE- total dv/dt, CSL3 dv/dt, non-GBE- total dv/dt, CSL3 dv/dt
0.0139755200564373,0.0107396769601742,0.0377560176677747,0.0326230309652402,0.03083792014057,0.0243781770520357
0.0139738013567516,0.0107386692355504,0.0377538818669478,0.0326205984547414,0.0308393421270381,0.0243783734501122
0.013972082855723,0.0107376619126889,0.0377517426666429,0.0326181682661115,0.030840683567817,0.0243784993419851
0.0139703645551315,0.0107366549955614,0.037749600055875,0.0326157403369791,0.0308419462474916,0.0243785562291876
0.0139686464568882,0.0107356484882111,0.0377474540223517,0.0326133146031538,0.0308431318996014,0.0243785455715368
0.0139669285627342,0.0107346423944747,0.0377453045529137,0.0326108910006155,0.0308442422096391,0.0243784687890809
0.0139652108743817,0.0107336367182782,0.0377431516333075,0.0326084694627582,0.0308452788156757,0.0243783272626317
0.0139634933934722,0.0107326314634335,0.0377409952486971,0.0326060499233023,0.0308462433099805,0.0243781223357473
0.013961776121576,0.010731626633639,0.0377388353832657,0.0326036323141778,0.0308471372411248,0.0243778553150023
0.0139600590602207,0.0107306222326748,0.0377366720200456,0.032601216566718,0.0308479621140805,0.0243775274720122
0.0139583422108842,0.0107296182641754,0.0377345051412448,0.0325988026113606,0.0308487193931057,0.0243771400439599
0.0139566255749344,0.0107286147317573,0.0377323347283891,0.0325963903771651,0.0308494105021708,0.0243766942348671
0.0139549091537567,0.0107276116389805,0.0377301607623224,0.0325939797931483,0.030850036825754,0.0243761912165184
0.0139531929485557,0.0107266089893301,0.0377279832223252,0.0325915707863516,0.0308505997118118,0.0243756321295905
0.0139514769606279,0.010725606786302,0.0377258020880475,0.0325891632843565,0.0308511004707981,0.0243750180848537
0.0139497611910606,0.0107246050332748,0.0377236410870836,0.0325867809629727,0.0308515403783929,0.0243743501630291
0.0139480456410119,0.0107236037335952,0.0377215225006609,0.032584446081998,0.0308519583746261,0.0243736671160022
0.0139463303114979,0.010722602890592,0.037719399648438,0.0325821119694183,0.0308523276224832,0.0243729419847512
0.0139446152034104,0.0107216025074734,0.0377172725249721,0.0325797785642123,0.0308526391240918,0.0243721656087814
0.0139429003178151,0.0107206025874937,0.0377151411222201,0.0325774458037102,0.0308528940373094,0.024371338971612
0.0139411856554226,0.0107196031337473,0.0377130054315984,0.0325751136243753,0.030853093489597,0.0243704630316373
0.0139394712170891,0.0107186041493499,0.0377108654428184,0.0325727819615764,0.0308532385787288,0.0243695387224108
0.0139377570035464,0.0107176056373604,0.0377087211445399,0.0325704507493469,0.0308533303736027,0.0243685669535267
0.0139360430155158,0.0107166076007736,0.0377065725239589,0.0325681199209527,0.0308533699154907,0.0243675486116999
0.0139343292534768,0.0107156100424852,0.0377044195669356,0.0325657894083946,0.0308533582186925,0.024366484561007
0.0139326157181117,0.0107146129654474,0.0377022622586196,0.0325634591429349,0.030853296271161,0.0243653756437254
