GBE Subset- phi0 (GPa), Cumulative Freq.,non-GBE- phi0 (GPa), Cumulative Freq., GBE- phi0 (GPa), Cumulative Freq.
0.836811,0.695906432748538,0.840934,0.714645193759436,0.8425,0.695337620578778
0.839294,0.704678362573099,0.843436,0.718671363865123,0.845,0.69895498392283
0.841777,0.706140350877193,0.845938,0.721187720181178,0.8475,0.704581993569132
0.84426,0.707602339181287,0.84844,0.724710619023654,0.85,0.710209003215434
0.846743,0.710526315789474,0.850942,0.729743331655762,0.8525,0.712218649517685
0.849226,0.714912280701754,0.853444,0.732762959235028,0.855,0.717041800643087
0.851709,0.719298245614035,0.855946,0.735782586814293,0.8575,0.723472668810289
0.854192,0.719298245614035,0.858448,0.740815299446402,0.86,0.727491961414791
0.856675,0.725146198830409,0.86095,0.748364368394565,0.8625,0.733922829581994
0.859158,0.732456140350877,0.863452,0.753397081026673,0.865,0.740755627009646
0.861641,0.732456140350877,0.865954,0.761952692501258,0.8675,0.75
0.864124,0.741228070175439,0.868456,0.768495218923,0.87,0.763665594855305
0.866607,0.752923976608187,0.870958,0.779063915450428,0.8725,0.77532154340836
0.86909,0.766081871345029,0.87346,0.786612984398591,0.875,0.793006430868167
0.871573,0.776315789473684,0.875962,0.798188223452441,0.8775,0.807877813504823
0.874056,0.792397660818713,0.878464,0.818319073980876,0.88,0.827572347266881
0.876539,0.802631578947368,0.880966,0.8379466532461,0.8825,0.881028938906752
0.879022,0.826023391812866,0.883468,0.864620030196276,0.885,0.887861736334405
0.881505,0.846491228070175,0.88597,0.865123301459487,0.8875,0.887861736334405
0.883988,0.874269005847953,0.888472,0.865626572722697,0.89,0.887861736334405
0.886471,0.874269005847953,0.890974,0.865626572722697,0.8925,0.887861736334405
0.888954,0.874269005847953,0.893476,0.866633115249119,0.895,0.887861736334405
0.891437,0.874269005847953,0.895978,0.86713638651233,0.8975,0.888665594855305
0.89392,0.875730994152047,0.89848,0.86713638651233,0.9,0.889067524115756
0.896403,0.87719298245614,0.900982,0.86713638651233,0.9025,0.889067524115756
0.898886,0.87719298245614,0.903484,0.868142929038752,0.905,0.889469453376206
0.901369,0.87719298245614,0.905986,0.869149471565174,0.9075,0.889469453376206
0.903852,0.878654970760234,0.908488,0.869652742828384,0.91,0.889871382636656
0.906335,0.878654970760234,0.91099,0.870156014091595,0.9125,0.889871382636656
0.908818,0.878654970760234,0.913492,0.870156014091595,0.915,0.889871382636656
0.911301,0.878654970760234,0.915994,0.871665827881228,0.9175,0.889871382636656
0.913784,0.880116959064328,0.918496,0.872169099144439,0.92,0.889871382636656
0.916267,0.880116959064328,0.920998,0.872169099144439,0.9225,0.889871382636656
0.91875,0.881578947368421,0.9235,0.87267237040765,0.925,0.890273311897106
0.921233,0.881578947368421,0.926002,0.873175641670861,0.9275,0.890273311897106
0.923716,0.881578947368421,0.928504,0.873175641670861,0.93,0.890273311897106
0.926199,0.883040935672515,0.931006,0.873678912934072,0.9325,0.890675241157556
0.928682,0.883040935672515,0.933508,0.873678912934072,0.935,0.891077170418006
0.931165,0.883040935672515,0.93601,0.873678912934072,0.9375,0.891479099678457
0.933648,0.883040935672515,0.938512,0.874685455460493,0.94,0.891479099678457
0.936131,0.883040935672515,0.941014,0.875691997986915,0.9425,0.891479099678457
0.938614,0.883040935672515,0.943516,0.875691997986915,0.945,0.891479099678457
0.941097,0.883040935672515,0.946018,0.876698540513337,0.9475,0.891881028938907
0.94358,0.883040935672515,0.94852,0.877201811776548,0.95,0.892684887459807
0.946063,0.884502923976608,0.951022,0.877201811776548,0.9525,0.892684887459807
0.948546,0.884502923976608,0.953524,0.877201811776548,0.955,0.893086816720257
0.951029,0.884502923976608,0.956026,0.877201811776548,0.9575,0.893488745980707
0.953512,0.884502923976608,0.958528,0.877705083039758,0.96,0.894694533762058
0.955995,0.884502923976608,0.96103,0.877705083039758,0.9625,0.895498392282958
0.958478,0.884502923976608,0.963532,0.877705083039758,0.965,0.895498392282958
0.960961,0.885964912280702,0.966034,0.878208354302969,0.9675,0.895498392282958
0.963444,0.885964912280702,0.968536,0.878208354302969,0.97,0.895900321543408
0.965927,0.885964912280702,0.971038,0.879214896829391,0.9725,0.896704180064309
0.96841,0.885964912280702,0.97354,0.879718168092602,0.975,0.897909967845659
0.970893,0.885964912280702,0.976042,0.880221439355813,0.9775,0.898311897106109
0.973376,0.885964912280702,0.978544,0.880221439355813,0.98,0.89911575562701
0.975859,0.887426900584795,0.981046,0.880724710619024,0.9825,0.89951768488746
0.978342,0.887426900584795,0.983548,0.880724710619024,0.985,0.90032154340836
0.980825,0.887426900584795,0.98605,0.880724710619024,0.9875,0.90072347266881
0.983308,0.887426900584795,0.988552,0.881227981882235,0.99,0.90072347266881
0.985791,0.887426900584795,0.991054,0.882234524408656,0.9925,0.90112540192926
0.988274,0.887426900584795,0.993556,0.882234524408656,0.995,0.901527331189711
0.990757,0.887426900584795,0.996058,0.883241066935078,0.9975,0.902331189710611
0.99324,0.888888888888889,0.99856,0.8842476094615,1,0.902733118971061
0.995723,0.888888888888889,1.001062,0.884750880724711,1.0025,0.903135048231511
0.998206,0.888888888888889,1.003564,0.884750880724711,1.005,0.903536977491961
1.000689,0.888888888888889,1.006066,0.885254151987921,1.0075,0.903938906752412
1.003172,0.888888888888889,1.008568,0.885757423251132,1.01,0.903938906752412
1.005655,0.888888888888889,1.01107,0.885757423251132,1.0125,0.903938906752412
1.008138,0.888888888888889,1.013572,0.885757423251132,1.015,0.904340836012862
1.010621,0.888888888888889,1.016074,0.885757423251132,1.0175,0.904742765273312
1.013104,0.888888888888889,1.018576,0.885757423251132,1.02,0.905144694533762
1.015587,0.888888888888889,1.021078,0.885757423251132,1.0225,0.905144694533762
